class,P,R,AP50,mAP50_95
button,0.4947487277428318,0.4785276073619632,0.442382976192916,0.34514532272887416
text,0.46171696832824466,0.3810553633217993,0.3939110978536151,0.2700281337560839
text_input,0.43610050124518485,0.34190963288230475,0.2941648224013049,0.18070911640752615
icon,0.6433945599312291,0.5316647068704855,0.5446193322215651,0.3841372574004412
menu,0.7552287195018227,0.8702397743300423,0.8668038662787582,0.7921805238216273
checkbox,0.3112749300990766,0.2624113475177305,0.16101112725416677,0.12633165409609984
