label,weights,mAP50,mAP5095,P,R,F1,AP_button,AP_text,AP_text_input,AP_icon,AP_menu,AP_checkbox
Source (no FT),/content/drive/MyDrive/visclick/weights/baseline_source/best_source_v8s.pt,0.035047658023262075,0.02226032874503582,0.19198297210418816,0.08257174923841591,0.11547694210547839,0.027648540733847683,0.09537946044366466,0.008461229946524065,0.001990323763760957,8.241758241758243e-05,0.0
M0 scratch,/content/drive/MyDrive/visclick/weights/phase1B/M0/run1/weights/best.pt,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
M1 COCO→FT,/content/drive/MyDrive/visclick/weights/phase1B/M1/run1/weights/best.pt,0.03895969222312507,0.022610535279110708,0.023522226635288346,0.2333894500561167,0.04273717418534873,0.10953571428571429,0.010708550643322483,0.007237505528527199,0.008181441217100271,0.0,0.0
M2 head-only,/content/drive/MyDrive/visclick/weights/phase1B/M2/run1/weights/best.pt,0.02771206563369544,0.015975768610739412,0.5411976209453901,0.047218213884880546,0.08685825060149557,0.01936241264429274,0.07314933346277686,0.0,0.00334286555736688,0.0,0.0
M3 freeze10 (current),/content/drive/MyDrive/visclick/weights/desktop_finetune/best_desktop_v8s.pt,0.03296419016124561,0.018649430754887772,0.38904254270473687,0.047218213884880546,0.0842152025561642,0.02284363832860568,0.08594937050503235,0.0012314814814814814,0.0018720942142071168,0.0,0.0
